pair_ID	sentence_A	sentence_B	entailment_label	relatedness_score	entailment_AB	entailment_BA	sentence_A_original	sentence_B_original	sentence_A_dataset	sentence_B_dataset	SemEval_set
11	Um cachorro castanho está atacando outro animal em frente do homem de calça	Um cachorro castanho está ajudando outro animal na frente do homem de calça	NEUTRAL	3.665	A_neutral_B	B_neutral_A	A brown dog is attacking another animal in front of the man in pants	A brown dog is helping another animal in front of the man in pants	FLICKR	FLICKR	TEST
12	Dois cachorros estão lutando	Dois cachorros estão lutando e se abraçando	NEUTRAL	4	A_neutral_B	B_neutral_A	Two dogs are fighting	Two dogs are wrestling and hugging	FLICKR	FLICKR	TRAIN
13	Dois cachorros estão lutando e se abraçando	Não tem nenhum cachorro lutando e abraçando	CONTRADICTION	3.3	A_contradicts_B	B_contradicts_A	Two dogs are wrestling and hugging	There is no dog wrestling and hugging	FLICKR	FLICKR	TEST
14	Um cachorro castanho está atacando outro animal em frente do homem de calça	Dois cachorros estão lutando	NEUTRAL	3.5	A_neutral_B	B_neutral_A	A brown dog is attacking another animal in front of the man in pants	Two dogs are fighting	FLICKR	FLICKR	TRAIN
15	Um cachorro castanho está atacando outro animal em frente do homem de calça	Não tem nenhum cachorro lutando e abraçando	NEUTRAL	2.7	A_neutral_B	B_neutral_A	A brown dog is attacking another animal in front of the man in pants	There is no dog wrestling and hugging	FLICKR	FLICKR	TEST
16	Dois cachorros estão lutando e se abraçando	Um cachorro castanho está atacando outro animal na frente do homem alto de calça	NEUTRAL	2.9	A_neutral_B	B_neutral_A	Two dogs are wrestling and hugging	A brown dog is attacking another animal in front of the tall man in pants	FLICKR	FLICKR	TEST
17	Dois cachorros estão lutando e se abraçando	Um cachorro castanho está ajudando outro animal na frente do homem de calça	NEUTRAL	2.3	A_neutral_B	B_neutral_A	Two dogs are wrestling and hugging	A brown dog is helping another animal in front of the man in pants	FLICKR	FLICKR	TEST
18	Um cachorro castanho está atacando outro animal em frente do homem de calça	Dois cachorros estão lutando e se abraçando	NEUTRAL	3.2	A_neutral_B	B_neutral_A	A brown dog is attacking another animal in front of the man in pants	Two dogs are wrestling and hugging	FLICKR	FLICKR	TRAIN
19	Uma pessoa de blusa preta está fazendo truques em uma moto	Um homem com uma jaqueta preta está fazendo truques em uma moto	ENTAILMENT	4.9	A_entails_B	B_entails_A	A person in a black jacket is doing tricks on a motorbike	A man in a black jacket is doing tricks on a motorbike	FLICKR	FLICKR	TEST
20	Não há nenhum homem de jaqueta preta fazendo truques em uma moto	Uma pessoa de blusa preta está fazendo truques em uma moto	CONTRADICTION	3.6	A_contradicts_B	B_contradicts_A	There is no man in a black jacket doing tricks on a motorbike	A person in a black jacket is doing tricks on a motorbike	FLICKR	FLICKR	TEST
21	Uma pessoa de blusa preta está fazendo truques em uma moto	Uma pessoa em uma motocicleta preta está fazendo truques com uma jaqueta	NEUTRAL	3	A_neutral_B	B_neutral_A	A person in a black jacket is doing tricks on a motorbike	A person on a black motorbike is doing tricks with a jacket	FLICKR	FLICKR	TEST
22	Uma pessoa habilidosa está andando de bicicleta sobre uma roda	Uma pessoa está andando de bicicleta em uma só roda	ENTAILMENT	4.3	A_entails_B	B_neutral_A	A skilled person is riding a bicycle on one wheel	A person is riding the bicycle on one wheel	FLICKR	FLICKR	TEST
23	Ninguém está dirigindo uma bicicleta com uma roda	Uma pessoa está andando de bicicleta em uma só roda	CONTRADICTION	4.1	A_contradicts_B	B_contradicts_A	Nobody is riding the bicycle on one wheel	A person is riding the bicycle on one wheel	FLICKR	FLICKR	TEST
24	Uma pessoa de blusa preta está fazendo truques em uma moto	Uma pessoa habilidosa está andando de bicicleta sobre uma roda	NEUTRAL	3.4	A_neutral_B	B_neutral_A	A person in a black jacket is doing tricks on a motorbike	A skilled person is riding a bicycle on one wheel	FLICKR	FLICKR	TRIAL
25	Ninguém está dirigindo uma bicicleta com uma roda	Uma pessoa de blusa preta está fazendo truques em uma moto	NEUTRAL	2.8	A_contradicts_B	B_neutral_A	Nobody is riding the bicycle on one wheel	A person in a black jacket is doing tricks on a motorbike	FLICKR	FLICKR	TRAIN
26	Uma pessoa está andando de bicicleta em uma só roda	Um homem com uma jaqueta preta está fazendo truques em uma moto	NEUTRAL	3.7	A_neutral_B	B_neutral_A	A person is riding the bicycle on one wheel	A man in a black jacket is doing tricks on a motorbike	FLICKR	FLICKR	TRAIN
27	Uma pessoa está andando de bicicleta em uma só roda	Não há nenhum homem de jaqueta preta fazendo truques em uma moto	NEUTRAL	3.2	A_neutral_B	B_neutral_A	A person is riding the bicycle on one wheel	There is no man in a black jacket doing tricks on a motorbike	FLICKR	FLICKR	TEST
28	Uma pessoa em uma motocicleta preta está fazendo truques com uma jaqueta	Uma pessoa está andando de bicicleta em uma só roda	NEUTRAL	3.4	A_neutral_B	B_neutral_A	A person on a black motorbike is doing tricks with a jacket	A person is riding the bicycle on one wheel	FLICKR	FLICKR	TRAIN
29	Uma pessoa está andando de bicicleta em uma só roda	Uma pessoa de blusa preta está fazendo truques em uma moto	NEUTRAL	3.3	A_neutral_B	B_neutral_A	A person is riding the bicycle on one wheel	A person in a black jacket is doing tricks on a motorbike	FLICKR	FLICKR	TEST
30	Um homem com uma camisa de time está enterrando uma bola em um jogo de basquete	A bola está sendo enterrada por um homem com uma camisa de time em um jogo de basquete	ENTAILMENT	4.9	A_entails_B	B_entails_A	A man with a jersey is dunking the ball at a basketball game	The ball is being dunked by a man with a jersey at a basketball game	FLICKR	FLICKR	TRAIN
31	Um homem com uma camisa de time está enterrando uma bola em um jogo de basquete	Não tem nenhum homem jogando a bola em um jogo de basquete	CONTRADICTION	4	A_contradicts_B	B_contradicts_A	A man with a jersey is dunking the ball at a basketball game	There is no man dunking the ball at a basketball game	FLICKR	FLICKR	TEST
32	O jogo de basquete consiste em uma bola sendo enterrada por um homem com uma camisa de time	Um homem com uma camisa de time está enterrando uma bola em um jogo de basquete	ENTAILMENT	4.2	A_entails_B	B_entails_A	The game of basketball consists of a ball being dunked by a man with a jersey	A man with a jersey is dunking the ball at a basketball game	FLICKR	FLICKR	TEST
33	Um homem está enterrando uma bola de basquete no cesto e uma multidão está ao fundo	O jogador está enterrando a bola de basquete e uma multidão está ao fundo	ENTAILMENT	4.7	A_entails_B	B_entails_A	A man who is playing dunks the basketball into the net and a crowd is in background	The player is dunking the basketball into the net and a crowd is in background	FLICKR	FLICKR	TEST
34	O jogador está perdendo a cesta e uma multidão está ao fundo	O jogador está enterrando a bola de basquete e uma multidão está ao fundo	CONTRADICTION	3.9	A_contradicts_B	B_contradicts_A	The player is missing the basket and a crowd is in background	The player is dunking the basketball into the net and a crowd is in background	FLICKR	FLICKR	TEST
35	Um homem com uma camisa de time está enterrando uma bola em um jogo de basquete	Um homem está enterrando uma bola de basquete no cesto e uma multidão está ao fundo	NEUTRAL	3.6	A_neutral_B	B_neutral_A	A man with a jersey is dunking the ball at a basketball game	A man who is playing dunks the basketball into the net and a crowd is in background	FLICKR	FLICKR	TRAIN
36	Um homem com uma camisa de time está enterrando uma bola em um jogo de basquete	O jogador está perdendo a cesta e uma multidão está ao fundo	NEUTRAL	3.5	A_neutral_B	B_neutral_A	A man with a jersey is dunking the ball at a basketball game	The player is missing the basket and a crowd is in background	FLICKR	FLICKR	TEST
37	O jogador está enterrando a bola de basquete e uma multidão está ao fundo	A bola está sendo enterrada por um homem com uma camisa de time em um jogo de basquete	NEUTRAL	4	A_neutral_B	B_neutral_A	The player is dunking the basketball into the net and a crowd is in background	The ball is being dunked by a man with a jersey at a basketball game	FLICKR	FLICKR	TEST
38	Não tem nenhum homem jogando a bola em um jogo de basquete	O jogador está enterrando a bola de basquete e uma multidão está ao fundo	CONTRADICTION	3.5	A_contradicts_B	B_contradicts_A	There is no man dunking the ball at a basketball game	The player is dunking the basketball into the net and a crowd is in background	FLICKR	FLICKR	TEST
39	O jogo de basquete consiste em uma bola sendo enterrada por um homem com uma camisa de time	O jogador está enterrando a bola de basquete e uma multidão está ao fundo	NEUTRAL	3.6	A_neutral_B	B_neutral_A	The game of basketball consists of a ball being dunked by a man with a jersey	The player is dunking the basketball into the net and a crowd is in background	FLICKR	FLICKR	TEST
40	O jogador está enterrando a bola de basquete e uma multidão está ao fundo	Um homem com uma camisa de time está enterrando uma bola em um jogo de basquete	NEUTRAL	3.8	A_neutral_B	B_neutral_A	The player is dunking the basketball into the net and a crowd is in background	A man with a jersey is dunking the ball at a basketball game	FLICKR	FLICKR	TRAIN
41	Duas pessoas estão lutando kickboxing e espectadores estão assistindo	Duas pessoas estão lutando e os espectadores estão assistindo	ENTAILMENT	4.4	A_entails_B	B_neutral_A	Two people are kickboxing and spectators are watching	Two people are fighting and spectators are watching	FLICKR	FLICKR	TEST
42	Duas pessoas estão lutando kickboxing e espectadores não estão assistindo	Duas pessoas estão lutando kickboxing e espectadores estão assistindo	CONTRADICTION	3.4	A_contradicts_B	B_contradicts_A	Two people are kickboxing and spectators are not watching	Two people are kickboxing and spectators are watching	FLICKR	FLICKR	TRAIN
43	Dois espectadores estão lutando kickboxing e algumas pessoas estão assistindo	Duas pessoas estão lutando kickboxing e espectadores estão assistindo	NEUTRAL	4	A_neutral_B	B_neutral_A	Two spectators are kickboxing and some people are watching	Two people are kickboxing and spectators are watching	FLICKR	FLICKR	TEST
44	Duas mulheres jovens estão brigando em uma luta de kickboxing	Duas mulheres estão brigando em uma partida de kickboxing	ENTAILMENT	4.9	A_entails_B	B_entails_A	Two young women are sparring in a kickboxing fight	Two women are sparring in a kickboxing match	FLICKR	FLICKR	TRAIN
45	Duas mulheres jovens não estão brigando em uma luta de kickboxing	Duas mulheres estão brigando em uma partida de kickboxing	NEUTRAL	3.9	A_contradicts_B	B_neutral_A	Two young women are not sparring in a kickboxing fight	Two women are sparring in a kickboxing match	FLICKR	FLICKR	TRAIN
46	Duas pessoas estão lutando kickboxing e espectadores estão assistindo	Duas mulheres jovens estão brigando em uma luta de kickboxing	NEUTRAL	3.9	A_neutral_B	B_neutral_A	Two people are kickboxing and spectators are watching	Two young women are sparring in a kickboxing fight	FLICKR	FLICKR	TEST
47	Duas pessoas estão lutando kickboxing e espectadores estão assistindo	Duas mulheres jovens não estão brigando em uma luta de kickboxing	NEUTRAL	3.415	A_neutral_B	B_neutral_A	Two people are kickboxing and spectators are watching	Two young women are not sparring in a kickboxing fight	FLICKR	FLICKR	TRAIN
48	Duas mulheres estão brigando em uma partida de kickboxing	Duas pessoas estão lutando e os espectadores estão assistindo	NEUTRAL	3.7	A_neutral_B	B_neutral_A	Two women are sparring in a kickboxing match	Two people are fighting and spectators are watching	FLICKR	FLICKR	TEST
49	Duas mulheres estão brigando em uma partida de kickboxing	Duas pessoas estão lutando kickboxing e espectadores não estão assistindo	NEUTRAL	3.7	A_neutral_B	B_neutral_A	Two women are sparring in a kickboxing match	Two people are kickboxing and spectators are not watching	FLICKR	FLICKR	TRAIN
50	Dois espectadores estão lutando kickboxing e algumas pessoas estão assistindo	Duas mulheres estão brigando em uma partida de kickboxing	NEUTRAL	3.6	A_neutral_B	B_neutral_A	Two spectators are kickboxing and some people are watching	Two women are sparring in a kickboxing match	FLICKR	FLICKR	TEST
51	Duas pessoas estão lutando kickboxing e espectadores estão assistindo	Duas mulheres estão brigando em uma partida de kickboxing	NEUTRAL	3.9	A_neutral_B	B_neutral_A	Two people are kickboxing and spectators are watching	Two women are sparring in a kickboxing match	FLICKR	FLICKR	TEST
52	Crianças de camisas vermelhas estão brincando nas folhas	Crianças em camisas vermelhas estão brincando nas folhas	ENTAILMENT	4.9	A_entails_B	B_entails_A	Kids in red shirts are playing in the leaves	Children in red shirts are playing in the leaves	FLICKR	FLICKR	TEST
53	Crianças em camisas vermelhas estão brincando nas folhas	Crianças de camisas vermelhas estão dormindo nas folhas	NEUTRAL	4	A_neutral_B	B_contradicts_A	Children in red shirts are playing in the leaves	Children in red shirts are sleeping in the leaves	FLICKR	FLICKR	TEST
54	Crianças em camisas vermelhas estão brincando nas folhas	Crianças cobertas de folhas estão brincando com camisas vermelhas	NEUTRAL	3.9	A_neutral_B	B_neutral_A	Children in red shirts are playing in the leaves	Children covered by leaves are playing with red shirts	FLICKR	FLICKR	TEST
55	Três meninos estão pulando nas folhas	Três crianças estão pulando nas folhas	ENTAILMENT	4.4	A_entails_B	B_neutral_A	Three boys are jumping in the leaves	Three kids are jumping in the leaves	FLICKR	FLICKR	TRAIN
56	Três crianças estão sentadas nas folhas	Três crianças estão pulando nas folhas	NEUTRAL	3.8	A_contradicts_B	B_neutral_A	Three kids are sitting in the leaves	Three kids are jumping in the leaves	FLICKR	FLICKR	TRAIN
57	Três meninos estão pulando nas folhas	Crianças em camisas vermelhas estão brincando nas folhas	NEUTRAL	4.1	A_neutral_B	B_neutral_A	Three boys are jumping in the leaves	Children in red shirts are playing in the leaves	FLICKR	FLICKR	TEST
58	Crianças em camisas vermelhas estão brincando nas folhas	Três crianças estão sentadas nas folhas	NEUTRAL	3.5	A_neutral_B	B_neutral_A	Children in red shirts are playing in the leaves	Three kids are sitting in the leaves	FLICKR	FLICKR	TRAIN
59	Crianças de camisas vermelhas estão brincando nas folhas	Três crianças estão pulando nas folhas	NEUTRAL	3.9	A_neutral_B	B_neutral_A	Kids in red shirts are playing in the leaves	Three kids are jumping in the leaves	FLICKR	FLICKR	TEST
60	Crianças de camisas vermelhas estão dormindo nas folhas	Três crianças estão pulando nas folhas	NEUTRAL	3.1	A_neutral_B	B_neutral_A	Children in red shirts are sleeping in the leaves	Three kids are jumping in the leaves	FLICKR	FLICKR	TEST
61	Crianças cobertas de folhas estão brincando com camisas vermelhas	Três crianças estão pulando nas folhas	NEUTRAL	3.9	A_neutral_B	B_neutral_A	Children covered by leaves are playing with red shirts	Three kids are jumping in the leaves	FLICKR	FLICKR	TEST
62	Crianças em camisas vermelhas estão brincando nas folhas	Três crianças estão pulando nas folhas	NEUTRAL	4	A_neutral_B	B_neutral_A	Children in red shirts are playing in the leaves	Three kids are jumping in the leaves	FLICKR	FLICKR	TRAIN
63	Duas crianças estão deitadas na neve e estão fazendo anjos	Duas crianças estão deitadas na neve e estão fazendo anjos de neve	ENTAILMENT	4.4	A_entails_B	B_neutral_A	Two children are lying in the snow and are drawing angels	Two children are lying in the snow and are making snow angels	FLICKR	FLICKR	TEST
64	Duas crianças estão deitadas na neve e estão fazendo anjos de neve	Não tem nenhuma criança deitada na neve e fazendo anjos de neve	CONTRADICTION	3.8	A_contradicts_B	B_contradicts_A	Two children are lying in the snow and are making snow angels	There is no child lying in the snow and making snow angels	FLICKR	FLICKR	TEST
65	Dois anjos estão fazendo neve nas crianças deitadas	Duas crianças estão deitadas na neve e estão fazendo anjos de neve	NEUTRAL	2.9	A_neutral_B	B_neutral_A	Two angels are making snow on the lying children	Two children are lying in the snow and are making snow angels	FLICKR	FLICKR	TRAIN
66	Duas pessoas usando roupas para neve estão no chão fazendo anjos da neve	Duas pessoas de roupas para neve estão deitadas na neve e estão fazendo anjos de neve	ENTAILMENT	4.8	A_entails_B	B_entails_A	Two people wearing snowsuits are on the ground making snow angels	Two people in snowsuits are lying in the snow and making snow angels	FLICKR	FLICKR	TEST
67	Duas pessoas de roupas para neve estão deitadas na neve e estão fazendo anjos de neve	Ninguém de roupas para neve está deitado na neve e fazendo anjos da neve	CONTRADICTION	4.1	A_contradicts_B	B_contradicts_A	Two people in snowsuits are lying in the snow and making snow angels	Nobody in snowsuits is lying in the snow and making snow angels	FLICKR	FLICKR	TEST
68	Duas crianças estão deitadas na neve e estão fazendo anjos de neve	Duas pessoas usando roupas para neve estão no chão fazendo anjos da neve	NEUTRAL	4.6	A_neutral_B	B_neutral_A	Two children are lying in the snow and are making snow angels	Two people wearing snowsuits are on the ground making snow angels	FLICKR	FLICKR	TEST
69	Duas crianças estão deitadas na neve e estão fazendo anjos de neve	Ninguém de roupas para neve está deitado na neve e fazendo anjos da neve	CONTRADICTION	3.6	A_contradicts_B	B_contradicts_A	Two children are lying in the snow and are making snow angels	Nobody in snowsuits is lying in the snow and making snow angels	FLICKR	FLICKR	TEST
70	Duas crianças estão deitadas na neve e estão fazendo anjos	Duas pessoas de roupas para neve estão deitadas na neve e estão fazendo anjos de neve	NEUTRAL	4.1	A_neutral_B	B_neutral_A	Two children are lying in the snow and are drawing angels	Two people in snowsuits are lying in the snow and making snow angels	FLICKR	FLICKR	TRAIN
71	Não tem nenhuma criança deitada na neve e fazendo anjos de neve	Duas pessoas de roupas para neve estão deitadas na neve e estão fazendo anjos de neve	NEUTRAL	3.3	A_neutral_B	B_neutral_A	There is no child lying in the snow and making snow angels	Two people in snowsuits are lying in the snow and making snow angels	FLICKR	FLICKR	TEST
72	Duas pessoas de roupas para neve estão deitadas na neve e estão fazendo anjos de neve	Dois anjos estão fazendo neve nas crianças deitadas	NEUTRAL	2.5	A_neutral_B	B_neutral_A	Two people in snowsuits are lying in the snow and making snow angels	Two angels are making snow on the lying children	FLICKR	FLICKR	TRAIN
73	Duas crianças estão deitadas na neve e estão fazendo anjos de neve	Duas pessoas de roupas para neve estão deitadas na neve e estão fazendo anjos de neve	NEUTRAL	4.2	A_neutral_B	B_neutral_A	Two children are lying in the snow and are making snow angels	Two people in snowsuits are lying in the snow and making snow angels	FLICKR	FLICKR	TRAIN
74	Uma menina pequena está olhando para uma mulher de fantasia	Uma jovem menina está olhando para uma mulher de fantasia	ENTAILMENT	4.7	A_entails_B	B_entails_A	A little girl is looking at a woman in costume	A young girl is looking at a woman in costume	FLICKR	FLICKR	TEST
75	Uma menina pequena está olhando para uma mulher de fantasia	A menina pequena está olhando um homem de fantasia	NEUTRAL	3.8	A_contradicts_B	B_neutral_A	A little girl is looking at a woman in costume	The little girl is looking at a man in costume	FLICKR	FLICKR	TEST
76	Uma menina pequena está olhando para uma mulher de fantasia	Uma menina pequena de fantasia parece uma mulher	NEUTRAL	2.9	A_neutral_B	B_neutral_A	A little girl is looking at a woman in costume	A little girl in costume looks like a woman	FLICKR	FLICKR	TEST
77	As pessoas vestindo figurinos estão se reunindo em uma floresta e estão olhando na mesma direção	Pessoas mascaradas estão olhando na mesma direção em uma floresta	ENTAILMENT	4.4	A_entails_B	B_neutral_A	People wearing costumes are gathering in a forest and are looking in the same direction	Masked people are looking in the same direction in a forest	FLICKR	FLICKR	TRAIN
78	As pessoas vestindo figurinos estão se reunindo em uma floresta e estão olhando na mesma direção	Pessoas usando fantasias estão se espalhando em uma floresta e estão olhando em direções diferentes	NEUTRAL	3.2	A_neutral_B	B_contradicts_A	People wearing costumes are gathering in a forest and are looking in the same direction	People wearing costumes are scattering in a forest and are looking in different directions	FLICKR	FLICKR	TRAIN
79	As pessoas estão olhando algumas fantasias reunidas nas proximidades da floresta	As pessoas vestindo figurinos estão se reunindo em uma floresta e estão olhando na mesma direção	NEUTRAL	3.635	A_neutral_B	B_neutral_A	People are looking at some costumes gathered in the vicinity of the forest	People wearing costumes are gathering in a forest and are looking in the same direction	FLICKR	FLICKR	TRAIN
80	Pessoas mascaradas estão olhando na mesma direção em uma floresta	Uma menina pequena está olhando para uma mulher de fantasia	NEUTRAL	1.3	A_neutral_B	B_neutral_A	Masked people are looking in the same direction in a forest	A little girl is looking at a woman in costume	FLICKR	FLICKR	TEST
81	Uma menina pequena está olhando para uma mulher de fantasia	Pessoas usando fantasias estão se espalhando em uma floresta e estão olhando em direções diferentes	NEUTRAL	2.4	A_neutral_B	B_neutral_A	A little girl is looking at a woman in costume	People wearing costumes are scattering in a forest and are looking in different directions	FLICKR	FLICKR	TRAIN
82	Uma menina pequena está olhando para uma mulher de fantasia	As pessoas estão olhando algumas fantasias reunidas nas proximidades da floresta	NEUTRAL	2.6	A_neutral_B	B_neutral_A	A little girl is looking at a woman in costume	People are looking at some costumes gathered in the vicinity of the forest	FLICKR	FLICKR	TRAIN
83	Uma jovem menina está olhando para uma mulher de fantasia	As pessoas vestindo figurinos estão se reunindo em uma floresta e estão olhando na mesma direção	NEUTRAL	2.2	A_neutral_B	B_neutral_A	A young girl is looking at a woman in costume	People wearing costumes are gathering in a forest and are looking in the same direction	FLICKR	FLICKR	TRAIN
84	As pessoas vestindo figurinos estão se reunindo em uma floresta e estão olhando na mesma direção	A menina pequena está olhando um homem de fantasia	NEUTRAL	3	A_neutral_B	B_neutral_A	People wearing costumes are gathering in a forest and are looking in the same direction	The little girl is looking at a man in costume	FLICKR	FLICKR	TRAIN
85	As pessoas vestindo figurinos estão se reunindo em uma floresta e estão olhando na mesma direção	Uma menina pequena de fantasia parece uma mulher	NEUTRAL	2	A_neutral_B	B_neutral_A	People wearing costumes are gathering in a forest and are looking in the same direction	A little girl in costume looks like a woman	FLICKR	FLICKR	TRAIN
86	Uma menina pequena está olhando para uma mulher de fantasia	As pessoas vestindo figurinos estão se reunindo em uma floresta e estão olhando na mesma direção	NEUTRAL	2.6	A_neutral_B	B_neutral_A	A little girl is looking at a woman in costume	People wearing costumes are gathering in a forest and are looking in the same direction	FLICKR	FLICKR	TEST
87	Um ciclista solitário está pulando no ar	Um ciclista está pulando no ar, sozinho	ENTAILMENT	5	A_entails_B	B_entails_A	A lone biker is jumping in the air	A biker is jumping in the air, alone	FLICKR	FLICKR	TRAIN
88	Não tem nenhum ciclista pulando no ar	Um ciclista solitário está pulando no ar	CONTRADICTION	4.2	A_contradicts_B	B_contradicts_A	There is no biker jumping in the air	A lone biker is jumping in the air	FLICKR	FLICKR	TRAIN
89	Um homem está pulando em uma piscina de natação vazia	Um homem está pulando em uma piscina vazia	ENTAILMENT	4.8	A_entails_B	B_neutral_A	A man is jumping into an empty swimming pool	A man is jumping into an empty pool	FLICKR	FLICKR	TEST
90	Um homem está pulando em uma piscina vazia	Um homem está pulando em uma piscina cheia	CONTRADICTION	3	A_contradicts_B	B_contradicts_A	A man is jumping into an empty pool	A man is jumping into a full pool	FLICKR	FLICKR	TRAIN
91	Um homem está pulando em uma piscina vazia	O colete do homem está na piscina vazia	NEUTRAL	3.1	A_neutral_B	B_neutral_A	A man is jumping into an empty pool	The man's jumper is in the empty pool	FLICKR	FLICKR	TRAIN
92	Um ciclista solitário está pulando no ar	Um homem está pulando em uma piscina vazia	NEUTRAL	1.6	A_neutral_B	B_neutral_A	A lone biker is jumping in the air	A man is jumping into an empty swimming pool	FLICKR	FLICKR	TEST
93	Um ciclista solitário está pulando no ar	Um homem está pulando em uma piscina cheia	NEUTRAL	1.7	A_neutral_B	B_neutral_A	A lone biker is jumping in the air	A man is jumping into a full pool	FLICKR	FLICKR	TRAIN
94	O colete do homem está na piscina vazia	Um ciclista solitário está pulando no ar	NEUTRAL	1.4	A_neutral_B	B_neutral_A	The man's jumper is in the empty pool	A lone biker is jumping in the air	FLICKR	FLICKR	TRAIN
95	Um homem está pulando em uma piscina vazia	Um ciclista está pulando no ar, sozinho	NEUTRAL	1.6	A_neutral_B	B_neutral_A	A man is jumping into an empty pool	A biker is jumping in the air, alone	FLICKR	FLICKR	TEST
96	Um homem está pulando em uma piscina vazia	Não tem nenhum ciclista pulando no ar	NEUTRAL	1.2	A_neutral_B	B_neutral_A	A man is jumping into an empty pool	There is no biker jumping in the air	FLICKR	FLICKR	TEST
97	Um ciclista solitário está pulando no ar	Um homem está pulando numa piscina vazia	NEUTRAL	1.5	A_neutral_B	B_neutral_A	A lone biker is jumping in the air	A man is jumping into an empty pool	FLICKR	FLICKR	TRAIN
98	Quatro meninos estão fazendo ponte no parque	Quatro garotos estão fazendo ponte no parque	ENTAILMENT	4.8	A_entails_B	B_entails_A	Four kids are doing backbends in the park	Four children are doing backbends in the park	FLICKR	FLICKR	TRAIN
99	Quatro crianças estão fazendo ponte na academia	Quatro crianças estão fazendo ponte no parque	NEUTRAL	3.8	A_neutral_B	B_neutral_A	Four children are doing backbends in the gym	Four children are doing backbends in the park	FLICKR	FLICKR	TRAIN
100	Quatro meninas estão fazendo ponte e brincando no jardim	Quatro garotas estão fazendo ponte e brincando ao ar livre	ENTAILMENT	4.1	A_entails_B	B_neutral_A	Four girls are doing backbends and playing in the garden	Four girls are doing backbends and playing outdoors	FLICKR	FLICKR	TRAIN
101	Quatro garotas estão fazendo ponte e brincando ao ar livre	Quatro meninas estão fazendo pontes e brincando em uma área coberta	NEUTRAL	4	A_neutral_B	B_neutral_A	Four girls are doing backbends and playing outdoors	Four girls are doing backbends and playing indoors	FLICKR	FLICKR	TEST
